UF;Unidade da Federação;PopCenso2012
TO;Tocantins;1417694
SP;São Paulo;41901219
SE;Sergipe;2110867
SC;Santa Catarina;6383286
RS;Rio Grande do Sul;10770603
RR;Roraima;469524
RO;Rondônia;1590011
RN;Rio Grande do Norte;3228198
RJ;Rio de Janeiro;16231365
PR;Paraná;10577755
PI;Piauí;3160748
PE;Pernambuco;8931028
PA;Pará;7822205
PB;Paraíba;3815171
MT;Mato Grosso;3115336
MS;Mato Grosso do Sul;2505088
MG;Minas Gerais;19855332
MA;Maranhão;6714314
GO;Goiás;6154996
ES;Espírito Santo;3578067
DF;Distrito Federal;2648532
CE;Ceará;8606005
BA;Bahia;14175341
AP;Amapá;698602
AM;Amazonas;3590985
AL;Alagoas;3165472
AC;Acre;758786
